Date,Close,Volume,Value,RSI,reportedEPS,surprise,Value,Value,Value,Value,Value,Value,InsiderFlow,sentiment,Headline_score,Headline_score,Close_Tmr
2017-06-19,0.017831532926059435,4104300.0,55.0,49.23081807023977,0.61,0.04,0.0088236805,0.0006516287,0.0015696926000000001,-0.0005975245000000001,4.3,0.0095241389,0.3225018583,-7.0,0.9969557816000001,-4.65281e-05,-0.032823307841014726
2017-06-20,-0.032823307841014726,6035100.0,63.0,37.48170765808876,0.61,0.04,0.0088236805,0.0006516287,0.0015696926000000001,-0.0005975245000000001,4.3,0.0095241389,0.3225018583,-7.0,0.8018989949,-4.65281e-05,0.008328175208486721
2017-06-21,0.008328175208486721,3469500.0,65.0,30.114521225153922,0.61,0.04,0.0088236805,0.0006516287,0.0015696926000000001,-0.0005975245000000001,4.3,0.0095241389,0.3225018583,-5.0,0.9804922826,-4.65281e-05,0.011149916214162836
2017-06-22,0.011149916214162836,9792100.0,88.0,29.769639769155518,0.61,0.04,0.0088236805,0.0006516287,0.0015696926000000001,-0.0005975245000000001,4.3,0.0095241389,0.3225018583,-5.0,0.3337525395,-4.65281e-05,-0.006942729423321747
2017-06-23,-0.006942729423321747,12682000.0,68.0,34.41062848903512,0.61,0.04,0.0088236805,0.0006516287,0.0015696926000000001,-0.0005975245000000001,4.3,0.0095241389,0.3225018583,-4.0,0.9992736585,-4.65281e-05,-0.006942729423321747
2017-06-24,-0.006942729423321747,12682000.0,32.0,34.41062848903512,0.61,0.04,0.0088236805,0.0006516287,0.0015696926000000001,-0.0005975245000000001,4.3,0.0095241389,0.3225018583,-4.0,-0.0001411286,-4.65281e-05,-0.006942729423321747
2017-06-25,-0.006942729423321747,12682000.0,15.0,34.41062848903512,0.61,0.04,0.0088236805,0.0006516287,0.0015696926000000001,-0.0005975245000000001,4.3,0.0095241389,0.3225018583,-1.0,-0.000256088,-4.65281e-05,0.0030843306021128836
2017-06-26,0.0030843306021128836,3992900.0,33.0,42.4241186808635,0.61,0.04,0.0088236805,0.0006516287,0.0015696926000000001,0.011559047900000001,4.3,0.0095241389,0.3225018583,-1.0,0.9991659642,-4.65281e-05,-0.005739977157283027
2017-06-27,-0.005739977157283027,4264400.0,34.0,40.24634823656235,0.61,0.04,0.0088236805,0.0006516287,0.0015696926000000001,0.011559047900000001,4.3,0.0095241389,0.3225018583,1.0,-0.3326963442,-4.65281e-05,0.01546380139761161
2017-06-28,0.01546380139761161,4259700.0,65.0,48.74096307608224,0.61,0.04,0.0088236805,0.0006516287,0.0015696926000000001,0.011559047900000001,4.3,0.0095241389,0.3225018583,1.0,-0.9980681887,-4.65281e-05,0.00751288485205337
2017-06-29,0.00751288485205337,6170100.0,54.0,54.51338527047649,0.61,0.04,0.0088236805,0.0006516287,0.0015696926000000001,0.011559047900000001,4.3,0.0095241389,0.3225018583,3.0,-0.9977197651,-4.65281e-05,0.014107213395878837
2017-06-30,0.014107213395878837,6618700.0,29.0,62.68662845393599,0.61,0.04,0.0088236805,0.0006516287,0.0015696926000000001,0.011559047900000001,4.3,0.009950717900000001,0.3225018583,3.0,-0.9977197651,-4.65281e-05,0.014107213395878837
2017-07-01,0.014107213395878837,6618700.0,19.0,62.68662845393599,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,0.011559047900000001,4.3,0.009950717900000001,0.3225018583,6.0,0.0002851409,-4.65281e-05,0.014107213395878837
2017-07-02,0.014107213395878837,6618700.0,0.0,62.68662845393599,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,0.011559047900000001,4.3,0.009950717900000001,0.3225018583,6.0,-0.00013209270000000002,-4.65281e-05,0.0013908625165677257
2017-07-03,0.0013908625165677257,2906500.0,61.0,56.97890958701404,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,0.0077962285,4.3,0.009950717900000001,0.3225018583,6.0,0.9893245983000001,-4.65281e-05,0.0013908625165677257
2017-07-04,0.0013908625165677257,2906500.0,15.0,82.77808833092578,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,0.0077962285,4.3,0.009950717900000001,0.3225018583,6.0,0.9993142508,-4.65281e-05,0.017265421874508524
2017-07-05,0.017265421874508524,5157500.0,54.0,84.76688871570305,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,0.0077962285,4.3,0.009950717900000001,0.3225018583,10.0,0.9993142508,-4.65281e-05,0.015411737209184428
2017-07-06,0.015411737209184428,7021400.0,35.0,85.64849312074597,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,0.0077962285,4.3,0.009950717900000001,0.3225018583,10.0,0.9993142508,-4.65281e-05,0.018828124246720312
2017-07-07,0.018828124246720312,6597000.0,0.0,94.3549102828038,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,0.0077962285,4.3,0.009950717900000001,0.3225018583,7.0,-0.9940520251,-4.65281e-05,0.018828124246720312
2017-07-08,0.018828124246720312,6597000.0,52.0,94.3549102828038,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,0.0077962285,4.3,0.009950717900000001,0.3225018583,7.0,-0.9691498429000001,-1.8901700000000002e-05,0.018828124246720312
2017-07-09,0.018828124246720312,6597000.0,39.0,94.3549102828038,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,0.0077962285,4.3,0.009950717900000001,0.3225018583,4.0,-0.9691498429000001,-1.8901700000000002e-05,-0.006977139414506395
2017-07-10,-0.006977139414506395,4600000.0,44.0,87.45185668548433,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.007903482600000001,4.3,0.009950717900000001,0.3225018583,4.0,-0.49418056250000003,-1.8901700000000002e-05,-0.019939229199835373
2017-07-11,-0.019939229199835373,4545700.0,32.0,76.1345072931941,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.007903482600000001,4.3,0.009950717900000001,0.3225018583,4.0,0.0040257039,-1.8901700000000002e-05,0.04243343321571613
2017-07-12,0.04243343321571613,8348400.0,54.0,80.78487331599436,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.007903482600000001,4.3,0.009950717900000001,0.3225018583,4.0,0.0404860316,-2.24815e-05,0.00018592578947385086
2017-07-13,0.00018592578947385086,5346700.0,71.0,79.80086446003554,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.007903482600000001,4.3,0.009950717900000001,0.3225018583,0.0,5.656e-07,-2.24815e-05,0.007619422150014765
2017-07-14,0.007619422150014765,4537900.0,35.0,78.93176475818188,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.007903482600000001,4.3,0.009950717900000001,0.3225018583,0.0,0.4982163416,-2.24815e-05,0.007619422150014765
2017-07-15,0.007619422150014765,4537900.0,32.0,78.93176475818188,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.007903482600000001,4.3,0.009950717900000001,0.3225018583,-3.0,-0.0205385465,-2.24815e-05,0.007619422150014765
2017-07-16,0.007619422150014765,4537900.0,11.0,78.93176475818188,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.007903482600000001,4.3,0.009950717900000001,0.3225018583,-3.0,-0.0205385465,-2.24815e-05,-0.006455327167217084
2017-07-17,-0.006455327167217084,3727400.0,49.0,74.78629320345225,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.0092613444,4.3,0.009950717900000001,0.3225018583,-7.0,-0.9846305268000001,-2.24815e-05,-0.013365323062044965
2017-07-18,-0.013365323062044965,4101400.0,75.0,67.82952940135266,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.0092613444,4.3,0.009950717900000001,0.3225018583,-7.0,-0.0616347251,-2.24815e-05,-0.010160039872847748
2017-07-19,-0.010160039872847748,5774700.0,26.0,59.10931689476723,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.0092613444,4.3,0.009950717900000001,0.3225018583,-3.0,-0.9972954063,-2.24815e-05,-0.005132125563350298
2017-07-20,-0.005132125563350298,4836200.0,47.0,52.10446243160098,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.0092613444,4.3,0.009950717900000001,0.3225018583,-3.0,0.5322332441000001,-2.24815e-05,-0.008215342571050499
2017-07-21,-0.008215342571050499,4544400.0,55.0,41.16717521884744,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.0092613444,4.3,0.009950717900000001,0.3225018583,-3.0,0.9870651668,-2.24815e-05,-0.008215342571050499
2017-07-22,-0.008215342571050499,4544400.0,0.0,41.16717521884744,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.0092613444,4.3,0.009950717900000001,0.3225018583,-3.0,0.9870651668,-2.24815e-05,-0.008215342571050499
2017-07-23,-0.008215342571050499,4544400.0,38.0,41.16717521884744,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,-0.0092613444,4.3,0.009950717900000001,0.3225018583,-2.0,0.9870651668,-2.24815e-05,-0.01213669105991877
2017-07-24,-0.01213669105991877,4876400.0,32.0,39.545327322068204,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,0.00963205,4.3,0.009950717900000001,0.3225018583,-2.0,0.4996992034,-2.24815e-05,-0.013065437170394323
2017-07-25,-0.013065437170394323,4484900.0,48.0,41.961307917609886,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,0.00963205,4.3,0.009950717900000001,0.3225018583,0.0,0.3317604489,-2.24815e-05,0.007903543698797977
2017-07-26,0.007903543698797977,4776100.0,18.0,18.510168827982866,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,0.00963205,4.3,0.009950717900000001,0.3225018583,0.0,-0.0756855597,-2.24815e-05,-0.019799821242499682
2017-07-27,-0.019799821242499682,10260300.0,100.0,14.917129071524258,0.61,0.04,0.012201727300000001,0.00032765,-0.0009471189,0.00963205,4.3,0.009950717900000001,0.3225018583,0.0,0.9993814268000001,-2.24815e-05,0.009799763078736756
2017-07-28,0.009799763078736756,9153400.0,65.0,16.152256550421413,1.92,0.05,0.012201727300000001,0.00032765,-0.0009471189,0.00963205,4.3,0.009950717900000001,0.3225018583,0.0,-0.6758793393,-1.04643e-05,0.009799763078736756
2017-07-29,0.009799763078736756,9153400.0,47.0,16.152256550421413,1.92,0.05,0.012201727300000001,0.00032765,-0.0009471189,0.00963205,4.3,0.009950717900000001,0.3225018583,1.0,-0.0513901217,-1.04643e-05,0.009799763078736756
2017-07-30,0.009799763078736756,9153400.0,19.0,16.152256550421413,1.92,0.05,0.012201727300000001,0.00032765,-0.0009471189,0.00963205,4.3,0.009950717900000001,0.3225018583,1.0,-0.0513901217,-1.04643e-05,-0.000990028334664883
2017-07-31,-0.000990028334664883,6062900.0,70.0,17.08240196875323,1.92,0.05,0.012201727300000001,0.00032765,-0.0009471189,0.0039398886,4.3,0.009933155800000001,0.3225018583,3.0,-0.661671511,-1.04643e-05,0.012291774442958703
2017-08-01,0.012291774442958703,5045300.0,38.0,29.549765330422133,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.0039398886,4.4,0.009933155800000001,0.3225018583,3.0,0.6962963379,-1.04643e-05,-0.011946772272735329
2017-08-02,-0.011946772272735329,4679700.0,54.0,29.150463871757353,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.0039398886,4.4,0.009933155800000001,-0.1600676126,-1.0,0.3952099457,-1.04643e-05,0.0019820157828067675
2017-08-03,0.0019820157828067675,3231400.0,37.0,32.13553875692537,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.0039398886,4.4,0.009933155800000001,-0.1600676126,-1.0,0.3952099457,-1.04643e-05,0.004945665557172019
2017-08-04,0.004945665557172019,2993500.0,42.0,38.509148967275664,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.0039398886,4.4,0.009933155800000001,-0.1600676126,-3.0,0.3952099457,-1.04643e-05,0.004945665557172019
2017-08-05,0.004945665557172019,2993500.0,21.0,38.509148967275664,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.0039398886,4.4,0.009933155800000001,-0.1600676126,-3.0,-0.9838736525,-1.04643e-05,0.004945665557172019
2017-08-06,0.004945665557172019,2993500.0,41.0,38.509148967275664,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.0039398886,4.4,0.009933155800000001,-0.1600676126,-4.0,-0.9933322184000001,-1.04643e-05,-0.004330609330836732
2017-08-07,-0.004330609330836732,3016700.0,60.0,42.08148779885299,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,-0.0075405057,4.4,0.009933155800000001,-0.1600676126,-4.0,0.9658707685000001,5.07415e-05,-0.011466937830104551
2017-08-08,-0.011466937830104551,4274400.0,53.0,42.956149021554175,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,-0.0075405057,4.4,0.009933155800000001,-0.1600676126,-8.0,0.9658707685000001,5.07415e-05,-0.011999987421189351
2017-08-09,-0.011999987421189351,5020800.0,32.0,32.229519093140766,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,-0.0075405057,4.4,0.009933155800000001,-0.1600676126,-8.0,0.4972723868,5.07415e-05,-0.015213179521263442
2017-08-10,-0.015213179521263442,5441400.0,54.0,34.179648323286855,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,-0.0075405057,4.4,0.009933155800000001,-0.1600676126,-4.0,-0.9965488812000001,5.07415e-05,-0.0041193895861986185
2017-08-11,-0.0041193895861986185,5610700.0,47.0,24.360015832338377,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,-0.0075405057,4.4,0.009933155800000001,-0.0619287077,-4.0,5.83424e-05,5.07415e-05,-0.0041193895861986185
2017-08-12,-0.0041193895861986185,5610700.0,19.0,24.360015832338377,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,-0.0075405057,4.4,0.009933155800000001,-0.0619287077,-4.0,5.83424e-05,5.07415e-05,-0.0041193895861986185
2017-08-13,-0.0041193895861986185,5610700.0,37.0,24.360015832338377,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,-0.0075405057,4.4,0.009933155800000001,-0.0619287077,-4.0,5.83424e-05,5.07415e-05,0.009514160219590062
2017-08-14,0.009514160219590062,2996500.0,28.0,32.57410505777848,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.0118909759,4.4,0.009933155800000001,-0.0619287077,2.0,0.952405267,5.07415e-05,-0.0059416494132399356
2017-08-15,-0.0059416494132399356,3149600.0,52.0,19.956822089852395,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.0118909759,4.4,0.009933155800000001,-0.0619287077,2.0,0.952405267,5.07415e-05,-0.002267032737235386
2017-08-16,-0.002267032737235386,4187300.0,58.0,22.75563221858313,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.0118909759,4.4,0.009933155800000001,-0.0619287077,-1.0,0.9992438769,5.07415e-05,-0.049163453418761494
2017-08-17,-0.049163453418761494,10304200.0,59.0,12.155996750123947,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.0118909759,4.4,0.009933155800000001,-0.0619287077,-1.0,-0.9967482660000001,5.07415e-05,-0.01042794515153489
2017-08-18,-0.01042794515153489,6242800.0,67.0,7.581930648525642,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.0118909759,4.4,0.009933155800000001,-0.0619287077,0.0,-0.9969667400000001,5.07415e-05,-0.01042794515153489
2017-08-19,-0.01042794515153489,6242800.0,57.0,7.581930648525642,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.0118909759,4.4,0.009933155800000001,-0.0619287077,0.0,-0.9969150225000001,5.07415e-05,-0.01042794515153489
2017-08-20,-0.01042794515153489,6242800.0,24.0,7.581930648525642,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.0118909759,4.4,0.009933155800000001,-0.0619287077,2.0,-0.9969150225000001,5.07415e-05,0.0035125249206502396
2017-08-21,0.0035125249206502396,4353900.0,55.0,10.320296315301093,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.014654161800000001,4.4,0.009933155800000001,-0.0619287077,2.0,-0.9969150225000001,5.07415e-05,-0.006562824500184861
2017-08-22,-0.006562824500184861,4019700.0,42.0,10.822615155723781,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.014654161800000001,4.4,0.009933155800000001,-0.0619287077,1.0,-0.9969150225000001,5.07415e-05,-0.03171130372694497
2017-08-23,-0.03171130372694497,8159200.0,50.0,9.436886526701613,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.014654161800000001,4.4,0.009933155800000001,-0.0619287077,1.0,-0.9969150225000001,5.07415e-05,-0.023879929162014202
2017-08-24,-0.023879929162014202,7057500.0,43.0,9.024808846743326,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.014654161800000001,4.4,0.009933155800000001,-0.0619287077,3.0,-0.9969150225000001,5.07415e-05,0.05428713577732003
2017-08-25,0.05428713577732003,11738400.0,72.0,32.7778179705535,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.014654161800000001,4.4,0.009933155800000001,-0.0619287077,3.0,-0.9982749267000001,5.07415e-05,0.05428713577732003
2017-08-26,0.05428713577732003,11738400.0,45.0,32.7778179705535,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.014654161800000001,4.4,0.009933155800000001,-0.0619287077,8.0,-0.9982749267000001,5.07415e-05,0.05428713577732003
2017-08-27,0.05428713577732003,11738400.0,11.0,32.7778179705535,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,0.014654161800000001,4.4,0.009933155800000001,-0.0619287077,8.0,-4.86275e-05,5.07415e-05,-0.006629886360726145
2017-08-28,-0.006629886360726145,6969300.0,61.0,28.16738422345466,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,-0.0102885753,4.4,0.009933155800000001,-0.0619287077,10.0,-0.9978496216,5.07415e-05,-0.008676270937657105
2017-08-29,-0.008676270937657105,5195100.0,44.0,27.85235547163839,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,-0.0102885753,4.4,0.009933155800000001,-0.0619287077,10.0,-0.9978496216,5.07415e-05,-0.005386021221042481
2017-08-30,-0.005386021221042481,5472600.0,50.0,27.453134216898817,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,-0.0102885753,4.4,0.009933155800000001,-0.0619287077,10.0,-0.9978496216,5.07415e-05,0.009476556061888353
2017-08-31,0.009476556061888353,3799600.0,45.0,40.92828424161717,1.92,0.05,0.012201727300000001,0.0038486262,-0.0050264846000000005,-0.0102885753,4.4,0.0100364118,-0.0619287077,10.0,-0.3235279471,5.07415e-05,0.012740412601871753
2017-09-01,0.012740412601871753,4569400.0,37.0,48.33338145553926,1.92,0.05,0.012201727300000001,0.0051063899,0.0004312701,-0.0102885753,4.3,0.0100364118,-0.0619287077,10.0,-0.9951690510000001,5.07415e-05,0.012740412601871753
2017-09-02,0.012740412601871753,4569400.0,0.0,48.33338145553926,1.92,0.05,0.012201727300000001,0.0051063899,0.0004312701,-0.0102885753,4.3,0.0100364118,-0.0619287077,10.0,0.9069428624,5.07415e-05,0.012740412601871753
2017-09-03,0.012740412601871753,4569400.0,28.0,48.33338145553926,1.92,0.05,0.012201727300000001,0.0051063899,0.0004312701,-0.0102885753,4.3,0.0100364118,-0.0619287077,10.0,0.9069428624,5.07415e-05,0.012740412601871753
2017-09-04,0.012740412601871753,4569400.0,41.0,47.15917479950432,1.92,0.05,0.012201727300000001,0.0051063899,0.0004312701,-0.013063901900000001,4.3,0.0100364118,-0.0619287077,10.0,0.9069428624,5.07415e-05,-0.030677630626531394
2017-09-05,-0.030677630626531394,8501600.0,26.0,40.836403794459635,1.92,0.05,0.012201727300000001,0.0051063899,0.0004312701,-0.013063901900000001,4.3,0.0100364118,-0.0619287077,6.0,0.5367493505,5.07415e-05,0.008879833031030016
