Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
TWTR,37.28,Call,40,2020-09-11,31,1,1.02,1.04,1.03,1167,100,11.67,46.88%,N/A,2020-08-11
ANGI,13,Put,12.5,2020-09-18,38,0.75,0.85,0.95,0.9,3025,261,11.59,69.66%,N/A,2020-08-11
DB,9.56,Call,10,2020-08-28,17,0,0.1,0.2,0.21,1490,130,11.46,46.24%,N/A,2020-08-11
TAL,74.89,Put,65,2020-09-18,38,1.05,1.13,1.2,1.15,1303,114,11.43,49.90%,N/A,2020-08-11
ABBV,92.67,Call,95.5,2020-08-21,10,0.45,0.53,0.6,0.51,1508,135,11.17,24.39%,N/A,2020-08-11
ZM,232.25,Put,230,2020-08-14,3,5.3,5.45,5.6,5.51,6871,621,11.06,72.31%,N/A,2020-08-11
MARA,3.86,Call,9,2020-12-18,129,0.9,1.2,1.5,1.2,3339,302,11.06,233.67%,N/A,2020-08-11
TWTR,37.28,Put,37,2020-08-28,17,1.39,1.43,1.47,1.45,3547,321,11.05,49.98%,N/A,2020-08-11
XOM,44.97,Put,44.5,2020-08-14,3,0.76,0.84,0.91,0.84,1291,120,10.76,65.56%,N/A,2020-08-11
SNAP,21.6,Put,19,2020-08-28,17,0.19,0.21,0.22,0.21,5066,477,10.62,59.03%,N/A,2020-08-11
BA,180.13,Put,190,2020-08-14,3,10.8,11.4,12,11,3019,285,10.59,66.40%,N/A,2020-08-11
TPR,15.53,Put,15,2022-01-21,528,4.1,4.25,4.4,4.3,2700,256,10.55,66.45%,N/A,2020-08-11
VXRT,10.15,Call,11,2020-08-14,3,1,1.13,1.25,1.05,1713,163,10.51,298.45%,N/A,2020-08-11
CHWY,50.61,Put,45,2020-08-28,17,0.45,0.76,1.06,0.77,1613,154,10.47,65.84%,N/A,2020-08-11
GM,28.52,Call,29.5,2020-08-21,10,0.39,0.43,0.47,0.44,2434,233,10.45,43.71%,N/A,2020-08-11
NCLH,15.64,Call,18.5,2020-08-21,10,0.19,0.23,0.27,0.22,4916,472,10.42,98.72%,N/A,2020-08-11
BA,180.13,Call,187.5,2020-08-14,3,1.62,1.67,1.72,1.72,18215,1753,10.39,67.19%,N/A,2020-08-11
BAC,26.92,Put,27,2020-08-14,3,0.4,0.42,0.43,0.42,17198,1664,10.34,39.00%,N/A,2020-08-11
DIS,130.49,Call,133,2020-08-21,10,1.3,1.39,1.48,1.41,2963,288,10.29,28.13%,N/A,2020-08-11
CAR,31.97,Put,33,2020-08-21,10,2.3,2.35,2.4,2.4,1173,115,10.2,86.18%,N/A,2020-08-11
CIT,21.28,Call,18,2020-10-16,66,4.3,4.4,4.5,4.37,1668,166,10.05,70.84%,N/A,2020-08-11
BHC,17.66,Call,19.5,2020-08-21,10,0.1,0.13,0.16,0.14,2485,249,9.98,57.95%,N/A,2020-08-11
BA,180.13,Call,190,2020-08-14,3,1.29,1.32,1.34,1.36,62459,6299,9.92,70.92%,N/A,2020-08-11
NFLX,469,Call,470,2020-08-14,3,5.8,6.03,6.25,5.88,1295,131,9.89,43.03%,N/A,2020-08-11
MMM,163.38,Call,170,2020-08-14,3,0.14,0.2,0.26,0.2,2601,265,9.82,32.37%,N/A,2020-08-11
QCOM,108.83,Call,117,2020-08-14,3,0.03,0.2,0.37,0.23,1325,135,9.81,58.00%,N/A,2020-08-11
CRBP,6.96,Call,16,2020-09-18,38,1.4,1.45,1.5,1.5,6601,680,9.71,354.34%,N/A,2020-08-11
ADBE,435.23,Put,150,2020-10-16,66,0.1,0.16,0.22,0.12,1520,157,9.68,94.26%,N/A,2020-08-11
RCL,58.67,Put,56,2020-08-14,3,0.76,0.78,0.8,0.77,5502,571,9.64,86.87%,N/A,2020-08-11
LVS,51,Put,48,2020-08-14,3,0.25,0.28,0.3,0.27,1633,170,9.61,68.79%,N/A,2020-08-11
RTX,64.26,Call,65.5,2020-08-14,3,0.35,0.41,0.46,0.35,1750,185,9.46,35.11%,N/A,2020-08-11
BA,180.13,Call,192.5,2020-08-14,3,0.95,1.19,1.42,1.05,9665,1029,9.39,73.67%,N/A,2020-08-11
ETSY,127.5,Put,120,2020-08-14,3,0.81,0.92,1.03,0.89,2894,310,9.34,76.16%,N/A,2020-08-11
DB,9.56,Call,7,2021-01-15,157,2.92,3.04,3.15,2.93,4243,456,9.3,56.85%,N/A,2020-08-11
JPM,103.82,Call,108,2020-08-28,17,1.3,1.46,1.61,1.35,1878,208,9.03,32.52%,N/A,2020-08-11
WBA,41.85,Call,47.5,2021-01-15,157,1.47,1.57,1.67,1.75,11454,1291,8.87,33.21%,N/A,2020-08-11
TSLA,1458,Call,1395,2020-08-14,3,17.45,20.23,23,21.7,1097,124,8.85,61.62%,N/A,2020-08-11
